time_us,encoder_value
3663665, 123862
3673675, 124478
3683685, 125087
3693695, 125701
3703704, 126318
3713714, 126930
3723724, 127552
3733734, 128169
3743743, 128792
3753753, 129411
3763763, 130029
3773773, 130657
3783782, 131278
3793792, 131902
3803802, 132531
3813812, 133155
3823822, 133785
3833831, 134413
3843841, 135045
3853851, 135674
3863861, 136305
3873870, 136939
3883880, 137577
3893890, 138207
3903900, 138851
3913909, 139487
3923919, 140125
3933929, 140767
3943939, 141404
3953948, 142045
3963958, 142689
3973968, 143329
3983978, 143977
3993988, 144623
4003997, 145268
4014007, 145920
4024017, 146566
4034027, 147219
4044036, 147869
4054046, 148519
4064056, 149174
4074066, 149827
4084075, 150480
4094085, 151136
4104095, 151792
4114105, 152448
4124114, 153109
4134124, 153766
4144134, 154427
4154144, 155092
4164154, 155750
4174163, 156414
4184173, 157081
4194183, 157744
4204193, 158410
4214202, 159078
4224212, 159742
4234222, 160413
4244232, 161081
4254241, 161751
4264251, 162427
4274261, 163098
4284271, 163768
4294281, 164449
4304290, 165123
4314300, 165798
4324310, 166479
4334320, 167155
4344329, 167830
4354339, 168514
4364349, 169191
4374359, 169873
4384368, 170559
4394378, 171240
4404388, 171925
4414398, 172615
4424407, 173299
4434417, 173985
4444427, 174677
4454437, 175362
4464447, 176052
4474456, 176748
4484466, 177432
4494476, 178123
4504486, 178822
4514495, 179515
4524505, 180204
4534515, 180907
4544525, 181605
4554534, 182299
4564544, 182998
4574554, 183697
4584564, 184394
4594573, 185093
4604583, 185795
4614593, 186496
4624603, 187199
4634613, 187906
4644622, 188605
4654632, 189313
4664642, 190023
4674652, 190728
4684661, 191433
4694671, 192145
4704681, 192853
4714691, 193559
4724700, 194269
4734710, 194981
4744720, 195693
4754730, 196402
4764739, 197120
4774749, 197834
4784759, 198549
4794769, 199268
4804779, 199982
4814788, 200698
4824798, 201415
4834808, 202131
4844818, 202849
4854827, 203572
4864837, 204294
4874847, 205013
4884857, 205736
4894866, 206462
4904876, 207185
4914886, 207907
4924896, 208635
4934906, 209362
4944915, 210085
4954925, 210809
4964935, 211539
4974945, 212266
4984954, 212991
4994964, 213725
5004974, 214459
5014984, 215188
5024993, 215920
5035003, 216656
5045013, 217389
5055023, 218121
5065032, 218855
5075042, 219592
5085052, 220322
5095062, 221059
5105072, 221805
5115081, 222542
5125091, 223279
5135101, 224019
5145111, 224761
5155120, 225501
5165130, 226237
5175140, 226981
5185150, 227729
5195159, 228465
5215179, 229961
5225189, 230705
5235198, 231450
5245208, 232198
5255218, 232947
5265228, 233693
5275238, 234440
5285247, 235190
5295257, 235946
5305267, 236690
5315277, 237440
5325286, 238198
5335296, 238950
5345306, 239702
5355316, 240456
5365325, 241213
5375335, 241968
5385345, 242721
5395355, 243477
5405364, 244239
5415374, 244990
5425384, 245747
5435394, 246512
5445404, 247274
5455413, 248033
5465423, 248792
5475433, 249556
5485443, 250318
5495452, 251079
5505462, 251839
5515472, 252606
5525482, 253373
5535491, 254137
5545501, 254901
5555511, 255669
5565521, 256437
5575531, 257202
5585540, 257969
5595550, 258741
5605560, 259511
5615570, 260280
5625579, 261047
5635589, 261818
5645599, 262593
5655609, 263364
5665618, 264137
5675628, 264911
5685638, 265684
5695648, 266456
5705657, 267229
5715667, 268005
5725677, 268785
5735687, 269558
5745697, 270332
5755706, 271113
5765716, 271895
5775726, 272675
5785736, 273451
5795745, 274233
5805755, 275016
5815765, 275795
5825775, 276573
5835784, 277354
5845794, 278137
5855804, 278925
5865814, 279705
5875823, 280489
5885833, 281275
5895843, 282062
5905853, 282845
5915863, 283629
5925872, 284424
5935882, 285209
5945892, 285995
5955902, 286778
5965911, 287570
5975921, 288363
5985931, 289152
5995941, 289941
6005950, 290732
6015960, 291526
6025970, 292318
6035980, 293110
6045989, 293899
