time_us,encoder_value
3663696, 120886
3673706, 121495
3683715, 122100
3693725, 122712
3703735, 123318
3713745, 123929
3723754, 124540
3733764, 125152
3743774, 125766
3753784, 126382
3763793, 126996
3773803, 127618
3783813, 128234
3793823, 128859
3803833, 129478
3813842, 130100
3823852, 130725
3833862, 131346
3853881, 132596
3863891, 133223
3873901, 133850
3883911, 134481
3893920, 135108
3903930, 135743
3913940, 136374
3923950, 137013
3933959, 137646
3943969, 138282
3953979, 138920
3963989, 139557
3973999, 140194
3984008, 140832
3994018, 141470
4004028, 142113
4014038, 142757
4024047, 143397
4034057, 144048
4044067, 144691
4054077, 145340
4064086, 145991
4074096, 146636
4084106, 147289
4094116, 147937
4104125, 148587
4114135, 149239
4124145, 149890
4134155, 150544
4144165, 151200
4154174, 151854
4164184, 152514
4174194, 153175
4184204, 153832
4194213, 154495
4204223, 155155
4214233, 155814
4224243, 156479
4234252, 157139
4244262, 157802
4254272, 158468
4264282, 159134
4274291, 159798
4284301, 160470
4304321, 161810
4314331, 162484
4324340, 163154
4334350, 163828
4344360, 164502
4354370, 165175
4364379, 165847
4374389, 166524
4384399, 167200
4394409, 167875
4404418, 168557
4414428, 169234
4424438, 169918
4434448, 170601
4444458, 171281
4454467, 171966
4464477, 172650
4474487, 173333
4484497, 174015
4494506, 174702
4504516, 175389
4514526, 176074
4524536, 176767
4534545, 177453
4544555, 178146
4554565, 178841
4564575, 179531
4574584, 180224
4584594, 180919
4594604, 181612
4604614, 182305
4614624, 183001
4624633, 183696
4634643, 184391
4644653, 185096
4654663, 185793
4664672, 186493
4674682, 187200
4684692, 187900
4694702, 188601
4704711, 189306
4714721, 190010
4724731, 190712
4734741, 191416
4744750, 192124
4754760, 192828
4764770, 193537
4774780, 194249
4784790, 194956
4794799, 195667
4804809, 196381
4814819, 197090
4824829, 197801
4834838, 198515
4844848, 199229
4854858, 199941
4864868, 200656
4874877, 201375
4884887, 202090
4894897, 202809
4904907, 203532
4914916, 204248
4924926, 204968
4934936, 205690
4954956, 207133
4964965, 207854
4974975, 208580
4984985, 209302
4994995, 210028
5005004, 210759
5015014, 211485
5025024, 212211
5035034, 212939
5045043, 213670
5055053, 214398
5065063, 215126
5075073, 215858
5085083, 216588
5095092, 217317
5105102, 218053
5115112, 218789
